Name,Specialty,Hospital,Description
Dr. Yayehyirad Mekonnen Ejigu,Pediatric Cardiac Surgeon,King Faisal National Referral Hospital,"Performs heart surgery on infants, children, and adolescents to correct congenital or acquired heart defects."
Dr. Ciro Campanella,Director of Adult Cardiothoracic Program,King Faisal National Referral Hospital,Leads programs focused on surgical treatment of heart and lung diseases in adults.
Dr. Mahlet Tesfaye,Cardiothoracic Surgeon,King Faisal National Referral Hospital,"Specializes in surgeries of the heart, lungs, and chest area."
Dr. Uwera Jacqueline,Consultant Internist,King Faisal National Referral Hospital,"Provides non-surgical treatment for internal diseases such as diabetes, hypertension, and infections."
Dr. Ndayiragije Vincent,Geriatrics Specialist,King Faisal National Referral Hospital,"Focuses on healthcare for elderly patients, including management of chronic conditions and geriatric syndromes."
Dr. Sibomana Jean Pierre,"Senior Consultant Critical Care, Pulmonologist",King Faisal National Referral Hospital,"Treats critical illnesses and specializes in respiratory conditions such as asthma, COPD, and pneumonia."
Dr. Kwizera Ndekezi Jackson,Junior Consultant Anesthesiologist,King Faisal National Referral Hospital,Assists in administering anesthesia and managing perioperative patient care.
Dr. Cherise Umutoni Gahizi,Junior Consultant Radiologist,King Faisal National Referral Hospital,"Uses medical imaging techniques like X-rays, MRI, and CT scans to diagnose and treat diseases."
Dr. Jean Marie Vianney Dushimiyimana,"Head of Department, Ambulatory Care",King Faisal National Referral Hospital,Oversees outpatient services and coordinates non-emergency patient care.
Dr. Lise Mumporeze,"Head of Service, Ambulatory Care",King Faisal National Referral Hospital,Manages daily operations of ambulatory care services in the hospital.
Dr. Gaston Nyirigira,"Head of Department, Anesthesiology & Critical Care Service",King Faisal National Referral Hospital,Leads anesthesiology and critical care services to ensure patient safety during surgery and intensive care.
Dr. Jean Bonaventure Uwineza,Anesthesiologist,King Faisal National Referral Hospital,Administers anesthesia during surgical procedures and monitors patient vitals.
Dr. Claude Gakumba,Anesthesiologist,King Faisal National Referral Hospital,Administers anesthesia during surgical procedures and monitors patient vitals.
Dr. Niyobogora Christine,Consultant Anesthesiologist,King Faisal National Referral Hospital,Senior expert in providing anesthesia and overseeing anesthesia-related patient safety.
Dr. Protogene Twisungane,Anesthesiologist,King Faisal National Referral Hospital,Administers anesthesia during surgical procedures and monitors patient vitals.
Dr. Munyaneza Rwibutso Thierry,Urologist,King Faisal National Referral Hospital,Treats conditions related to the urinary tract and male reproductive organs.
Dr. Tewodros Fesseha,"Consultant, Urologic Surgeon",King Faisal National Referral Hospital,Performs surgical procedures to treat urological conditions such as kidney stones and prostate disorders.
Dr. Arlene Ndayisenga,Junior Consultant Neurologist,King Faisal National Referral Hospital,"Diagnoses and treats disorders of the brain, spinal cord, and nervous system."
Dr. Edgar Kalimba,Pediatrician Pulmonologist,King Faisal National Referral Hospital,"Specializes in respiratory diseases in children, such as asthma and cystic fibrosis."
Dr. Rukundo Jean Damascene,Junior Consultant Pediatrician,King Faisal National Referral Hospital,"Provides healthcare for children, including growth, development, and acute illnesses."
Dr. Francoise Mukagaju,Plastic Surgeon,King Faisal National Referral Hospital,Performs reconstructive and cosmetic surgeries to restore or enhance body appearance.
Dr. Robert Karakire,Orthopedic Surgeon,King Faisal National Referral Hospital,"Diagnoses and surgically treats conditions involving bones, joints, and muscles."
Dr. Kwesiga Stephen,Orthopedic Surgeon,King Faisal National Referral Hospital,"Diagnoses and surgically treats conditions involving bones, joints, and muscles."
Colonel Dr. Alex Butera,Orthopedic Surgeon,Rwanda Military Hospital,"Diagnoses and surgically treats conditions involving bones, joints, and muscles."
Lt Colonel Dr. King Rugagi,General Surgeon,Rwanda Military Hospital,"Performs operations involving abdominal organs, skin, breast, and hernias."
Lt Colonel Dr. Afrika Gasana,Urologist,Rwanda Military Hospital,Treats conditions related to the urinary tract and male reproductive organs.
Lt Colonel Dr. W. N. Ruzindana,Internal Medicine Physician,Rwanda Military Hospital,"Diagnoses and manages complex adult illnesses, often serving as a primary care provider."
Lt Colonel Dr. M. Rugemintwaza,Radiologist,Rwanda Military Hospital,Interprets medical images to assist in the diagnosis and treatment of various conditions.
Lt Colonel Dr. Sayinzoga,ENT Specialist,Rwanda Military Hospital,"Treats conditions of the ear, nose, and throat including infections, hearing loss, and sinus issues."
